10,0.1,0.69,0.00038
10,0.01,0.06,0.00031
10,0.001,0.0,0.00032
10,0.0001,0.0,0.00031
10,1.0e-05,0.0,0.00031
100,0.1,1.0,0.00223
100,0.01,0.71,0.00227
100,0.001,0.09,0.00223
100,0.0001,0.0,0.00224
100,1.0e-05,0.0,0.00224
1000,0.1,1.0,0.02105
1000,0.01,1.0,0.02134
1000,0.001,0.6,0.01964
1000,0.0001,0.1,0.018
1000,1.0e-05,0.03,0.01805
10000,0.1,1.0,0.18011
10000,0.01,1.0,0.18211
10000,0.001,1.0,0.1827
10000,0.0001,0.64,0.18185
10000,1.0e-05,0.07,0.17845
100000,0.1,1.0,1.79083
100000,0.01,1.0,1.81104
100000,0.001,1.0,1.80005
100000,0.0001,1.0,1.80025
100000,1.0e-05,0.67,1.90284
